actionName,resourceName,type,priority
Aircraft1_fly,Aircraft1v_fps,set,0
Aircraft1_fly,Aircraft1w_fps,set,0
Aircraft1_fly,Aircraft1p_radps,set,0
Aircraft1_fly,Aircraft1q_radps,set,0
Aircraft1_fly,Aircraft1r_radps,set,0
Aircraft1_fly,Aircraft1q0,set,0
Aircraft1_fly,Aircraft1q1,set,0
Aircraft1_fly,Aircraft1q2,set,0
Aircraft1_fly,Aircraft1q3,set,0
Aircraft1_fly,Aircraft1turbulencelevel,get,0
Aircraft1_fly,Aircraft1del_deg,set,0
Aircraft1_fly,Aircraft1dail_deg,set,0
Aircraft1_fly,Aircraft1drud_deg,set,0
Aircraft1_fly,Aircraft1thrust_lb,set,0
Aircraft1_fly,Aircraft1elevtrim_deg,set,0
Aircraft1_fly,Aircraft1commandedFlapSetting_deg,set,0
Aircraft1_fly,Aircraft1commandedGearPosition,set,0
Aircraft1_fly,Aircraft1udot_fps2,set,0
Aircraft1_fly,Aircraft1vdot_fps2,set,0
Aircraft1_fly,Aircraft1wdot_fps2,set,0
Aircraft1_fly,Aircraft1pdot_rps2,set,0
Aircraft1_fly,Aircraft1qdot_rps2,set,0
Aircraft1_fly,Aircraft1rdot_rps2,set,0
Aircraft1updateaircraftdata,Aircraft1turbulencelevel,get,0
Aircraft1updateaircraftdata,Aircraft1altitude_ft,get,0
Aircraft1updateaircraftdata,Aircraft1indicatedairspeed_kts,get,0
Aircraft1updateaircraftdata,Aircraft1trueairspeed_kts,get,0
Aircraft1updateaircraftdata,Aircraft1groundspeed_kts,get,0
Aircraft1updateaircraftdata,Aircraft1vspeed_fpm,get,0
Aircraft1updateaircraftdata,Aircraft1heading_degtrue,get,0
Aircraft1updateaircraftdata,Aircraft1bank_deg,get,0
Aircraft1updateaircraftdata,Aircraft1pitch_deg,get,0
Aircraft1updateaircraftdata,Aircraft1latitude_deg,get,0
Aircraft1updateaircraftdata,Aircraft1longitude_deg,get,0
Aircraft1updateaircraftdata,Aircraft1u_fps,get,0
Aircraft1updateaircraftdata,Aircraft1v_fps,get,0
Aircraft1updateaircraftdata,Aircraft1w_fps,get,0
Aircraft1updateaircraftdata,Aircraft1p_radps,get,0
Aircraft1updateaircraftdata,Aircraft1q_radps,get,0
Aircraft1updateaircraftdata,Aircraft1r_radps,get,0
Aircraft1updateaircraftdata,Aircraft1q0,get,0
Aircraft1updateaircraftdata,Aircraft1q1,get,0
Aircraft1updateaircraftdata,Aircraft1q2,get,0
Aircraft1updateaircraftdata,Aircraft1q3,get,0
Aircraft1updateaircraftdata,Aircraft1del_deg,get,0
Aircraft1updateaircraftdata,Aircraft1dail_deg,get,0
Aircraft1updateaircraftdata,Aircraft1drud_deg,get,0
Aircraft1updateaircraftdata,Aircraft1thrust_lb,get,0
Aircraft1updateaircraftdata,Aircraft1elevtrim_deg,set,0
Aircraft1updateaircraftdata,Aircraft1udot_fps2,get,0
Aircraft1updateaircraftdata,Aircraft1vdot_fps2,get,0
Aircraft1updateaircraftdata,Aircraft1wdot_fps2,get,0
Aircraft1updateaircraftdata,Aircraft1pdot_rps2,set,0
Aircraft1updateaircraftdata,Aircraft1qdot_rps2,set,0
Aircraft1updateaircraftdata,Aircraft1rdot_rps2,set,0
Aircraft1_fly,Aircraft1commandedFlapSetting_deg,get,0
Aircraft1_fly,Aircraft1SpeedBrakeSetting_deg,get,0
Aircraft1_fly,Aircraft1commandedGearPosition,get,0
Aircraft1_fly,Aircraft1altitudeLoopEnabled,get,0
Aircraft1_fly,Aircraft1altitudeLoopTarget_ft,get,0
Aircraft1_fly,Aircraft1airspeedLoopEnabled,get,0
Aircraft1_fly,Aircraft1airspeedLoopTarget_indicatedkts,get,0
Aircraft1_fly,Aircraft1flchLoopEnabled,get,0
Aircraft1_fly,Aircraft1flchLoopTarget_ft,get,0
Aircraft1_fly,Aircraft1vspeedLoopEnabled,get,0
Aircraft1_fly,Aircraft1vspeedLoopTarget_fps,get,0
Aircraft1_fly,Aircraft1flightpathangleLoopEnabled,get,0
Aircraft1_fly,Aircraft1flightpathangleLoopTarget_deg,get,0
Aircraft1_fly,Aircraft1phiLoopEnabled,get,0
Aircraft1_fly,Aircraft1phiLoopTarget_deg,get,0
Aircraft1_fly,Aircraft1betaLoopEnabled,get,0
Aircraft1_fly,Aircraft1betaLoopTarget_deg,get,0
Aircraft1_fly,Aircraft1thetaLoopEnabled,get,0
Aircraft1_fly,Aircraft1thetaLoopTarget_deg,get,0
Aircraft1_fly,Aircraft1thrustLoopEnabled,get,0
Aircraft1_fly,Aircraft1thrustLoopTarget_lbf,get,0
Aircraft1_fly,Aircraft1headingLoopEnabled,get,0
Aircraft1_fly,Aircraft1headingLoopTarget_degtrue,get,0
Aircraft1_fly,Aircraft1perceived_bank_deg,set,0
Aircraft1_fly,Aircraft1perceived_pitch_deg,set,0
Aircraft1_fly,Aircraft1perceived_bank_deg,get,0
Aircraft1_fly,Aircraft1perceived_pitch_deg,get,0
